title,description,eligibility,last_date,image
"Pradhan Mantri Awas Yojana (Urban)","Affordable housing scheme for urban poor with interest subsidy on home loans","EWS/LIG/MIG categories with annual income < ₹18 lakhs","2025-12-30","pmay.jpg"
"Pradhan Mantri Awas Yojana (Gramin)","Provides pucca houses with basic amenities to rural households","All rural households without a pucca house","2029-03-31","pmay-g.jpg"
"PM Kisan Samman Nidhi","Income support of ₹6,000 per year to farmer families in 3 instalments","All landholding farmer families","Ongoing (next instalment July 2026)","pmkisan.jpg"
"PM Fasal Bima Yojana (PMFBY)","Crop insurance against natural calamities, pests & diseases","All farmers growing notified crops (premium: 2% Kharif, 1.5% Rabi)","Varies by season (Kharif/Rabi)","pmfby.jpg"
"Kisan Credit Card (KCC)","Short-term credit for crop production, farm equipment & allied activities","All farmers, tenant farmers, sharecroppers","Ongoing","kcc.jpg"
"Sub-Mission on Agricultural Mechanisation (SMAM)","Promotes farm mechanisation through subsidies on equipment","All farmers, Farmer Producer Organisations (FPOs), custom hiring centres","Ongoing","smam.jpg"
"PM Mudra Yojana","Collateral-free loans up to ₹10 lakh for micro/small businesses","All Indian citizens with a business plan","Ongoing","mudra.jpg"
"PM Employment Generation Programme (PMEGP)","Credit-linked subsidy for setting up new micro-enterprises","Unemployed youth, traditional artisans, women, SC/ST, BPL","Ongoing","pmegp.jpg"
"Credit Guarantee Fund Trust for MSMEs (CGTMSE)","Collateral-free credit guarantee for MSME loans","All MSMEs, manufacturing & service sector","Ongoing","cgtmse.jpg"
"PM e-DRIVE Scheme","Promotes EV adoption with subsidies & charging infrastructure","EV buyers, manufacturers, charging station operators","Ongoing","edrive.jpg"
"Mission Shakti","Safety, protection & empowerment of women through integrated schemes","Women across all age groups","Ongoing","missionshakti.jpg"
"Mission Vatsalya","Protection, care & welfare of children in difficult circumstances","Children in need of care & protection, families","Ongoing","vatsalya.jpg"
"Poshan 2.0 (Mission Saksham Anganwadi)","Nutrition & health improvement for children, pregnant & lactating mothers","Children <6 years, pregnant & lactating women","Ongoing","poshan.jpg"
"PM-DAKSH Yojana","Skill development & competency enhancement for SCs, OBCs & others","Scheduled Castes, OBCs, Safai Karamcharis, etc.","Ongoing","pmdaksh.jpg"
"National Fellowship & Scholarship for ST Students","Financial support for higher education of ST students","Scheduled Tribe (ST) students pursuing higher education","Ongoing","stscholarship.jpg"
"National Overseas Scholarship Scheme","Scholarship for ST students to pursue Master's/PhD abroad","ST students with family income < ₹6 lakh/year","Ongoing","overseas.jpg"
"Biopharma SHAKTI","₹10,000 crore plan to make India a leader in biopharmaceuticals","Biopharma companies, R&D institutions, startups","Ongoing","biopharma.jpg"
"Atal Tinkering Labs","STEM labs to foster innovation & creativity in school students","Schools (Classes 6-12)","Ongoing","atl.jpg"
"Mukhyamantri Mazi Ladki Bahin Yojana","Women empowerment scheme with financial assistance & skill development","Women residents of Maharashtra","Ongoing","mlby.jpg"
"Maharashtra Rural Drinking Water Policy 2026","Addresses long-term water scarcity in rural areas","Rural households, Gram Panchayats","Ongoing","mrwpolicy.jpg"
"Chief Minister Farmers Power Discount Scheme","Free/subsidised electricity for farmers","Farmers in Maharashtra","Ongoing","cmfpower.jpg"
"Maharashtra AI Policy 2026","Promotes AI research, innovation & governance; trains 2 lakh youth in AI","Youth, professionals, AI startups in Maharashtra","Ongoing","maai.jpg"
"Maharashtra Unmanned Systems Policy 2026","Promotes drones & robotics in agriculture, surveillance & logistics","Drone manufacturers, agri-tech startups, government agencies","Ongoing","drone.jpg"
"Maharashtra Pink e-Rickshaw Scheme","Empowers women through subsidised e-rickshaw ownership","Women residents of Maharashtra (subsidy: 20% + 70% bank loan)","Ongoing","pinkrickshaw.jpg"
"Mahila Samman Scheme (MSRTC)","50% travel discount for women on MSRTC buses","Women passengers of MSRTC","Ongoing","mahilasamman.jpg"
"Senior Citizen Travel Concession (MSRTC)","50% travel discount for passengers aged 65-75 years","Senior citizens aged 65-75 years","Ongoing","seniorconcession.jpg"
"Maharashtra Emergency Medical Services Scheme","Operational ambulances for emergency medical services","All citizens of Maharashtra","Ongoing","mems.jpg"
"Textile Power Subsidy Cluster Scheme","₹3.00/unit power subsidy for private spinning mills under cluster","Textile spinning mills in Maharashtra clusters","Ongoing","textilesubsidy.jpg"
"Industrial Promotion Subsidy (IPS)","Subsidy for industrial units to promote investment & employment","MSMEs & large industries in Maharashtra (MIDC areas)","Ongoing","ips.jpg"
"Post-Matric Scholarship for SC/ST/OBC","Reimbursement of education fees & examination fees for SC/ST/OBC students","SC/ST/OBC students of Maharashtra","Ongoing","postmatric.jpg"
"Indira Gandhi National Old Age Pension Scheme","Monthly pension for BPL senior citizens aged 60+ years","BPL senior citizens aged 60+ years","Ongoing","ignoaps.jpg"
"Indira Gandhi National Widow Pension Scheme","Monthly pension for BPL widows","BPL widows","Ongoing","ignwps.jpg"
"National Handloom Development Programme","Comprehensive support for handloom weavers including yarn supply & marketing","Handloom weavers & cooperatives","Ongoing","handloom.jpg"
"Raw Material Supply Scheme (RMSS)","Supply of raw materials to handloom weavers at subsidised rates","Handloom weavers","Ongoing","rmss.jpg"
"National Handicraft Development Programme","End-to-end support for handicraft artisans including design & marketing","Handicraft artisans & clusters","Ongoing","handicraft.jpg"
"Comprehensive Handicrafts Cluster Development Scheme (CHCDS)","Cluster-based development for handicraft artisans","Handicraft clusters","Ongoing","chcds.jpg"
"Coir Vikas Yojana","Promotes coir sector through skill development, technology & marketing","Coir artisans, entrepreneurs, cooperatives","Ongoing","coir.jpg"
"PM-DevINE Scheme","Infrastructure & social development projects for North Eastern Region","NER states, youth & women of NER","Ongoing","pmdevine.jpg"
"PM-AASHA Scheme","Price support & procurement for farmers to ensure remunerative prices","All farmers growing notified crops","2026-03-31","pmaasha.jpg"
"Venture Capital Fund for Scheduled Castes (VCF-SC)","Concessional finance (₹10 lakh–₹5 crore) for SC entrepreneurs","SC entrepreneurs & startups","Ongoing","vcfsc.jpg"
"Adivasi Shiksha Rrinn Yojana","Education loan up to ₹10 lakh @ 6% p.a. for ST students pursuing professional/technical education","ST students for professional/technical education in India","Ongoing","asry.jpg"
"Science Stream Scholarship Scheme","12,000 scholarships per year @ ₹0.80 lakh/year for B.Sc/M.Sc in natural/basic sciences","Students aged 17-22 years in natural/basic sciences","Ongoing","sci-scholar.jpg"
"Garima Greh","Shelter, food, medical care & rehabilitation for destitute/abandoned transgender persons","Destitute & abandoned transgender persons","Ongoing","garima.jpg"
"Gharaunda (Group Home for Adults)","Group homes for adults with disabilities covered under National Trust Act","Adults with disabilities (PwDs)","Ongoing","gharaunda.jpg"